IdVenta,codigo
270075,[689660]
270076,[660873]
270077,"[705276, 664012]"
270078,[505273]
270079,"[478727, 478727, 476291, 706458, 400120]"
270080,[154289]
270081,"[859991, 729566]"
270082,"[816181, 816181]"
270083,[768283]
270084,[207791]
270086,"[703175, 655891, 677207, 722195, 669664, 677207, 482653]"
270087,"[672353, 659590, 664012, 490680, 441261, 885178, 653511, 869735]"
270088,[693497]
270089,[441261]
270090,"[694943, 672353]"
270091,[761788]
270092,[725174]
270093,"[818971, 818971, 659505, 671081, 400120, 400120]"
270094,"[848416, 849612, 720631, 659590, 165593]"
270096,"[658244, 494823, 669085, 491126, 656582, 725076, 180854, 656073, 724007, 659590, 757427, 707347]"
270097,"[702058, 816181, 681769, 652203, 754754, 665589, 681769]"
270098,[691204]
270099,[662018]
270100,"[672353, 483289, 664013, 874586, 671937, 733336, 818997, 15872, 659590, 733334, 663941]"
270101,"[661147, 658244, 809459, 702056, 484188, 757419, 869354]"
270102,"[186618, 724653, 946582]"
270103,[779553]
270104,"[693582, 688678, 727304, 890426]"
270106,[750521]
270107,"[204301, 197334]"
270108,"[654047, 703828, 709153]"
270109,[977298]
270110,"[779553, 674564]"
270111,"[727107, 660250, 715573, 992859]"
270112,"[702116, 935353, 835454]"
270113,[731210]
270114,[672101]
270115,[731094]
270116,[650100]
270117,[695766]
270118,[719556]
270119,[715572]
270120,"[750521, 959452]"
270121,"[723798, 718411, 761788]"
270122,"[693805, 19283]"
270123,[711228]
270124,[698109]
270125,"[776773, 937052, 654542, 664013, 673029, 823997]"
270126,"[654536, 664013, 671396]"
270127,[663267]
270128,[707044]
270129,[696527]
270130,"[655498, 655498]"
270131,"[10085, 719556, 195634, 776773]"
270132,"[729566, 717702, 723798, 999868, 728317, 672974, 725101, 656720, 795104, 754739, 664013, 704308]"
270133,"[723798, 724007, 170490, 722195, 664013, 659590, 666453, 776773]"
270134,[224758]
270135,"[709153, 658395]"
270136,[710011]
270137,[173861]
270138,"[721968, 702057, 664013, 698083, 791061, 729566]"
270139,[662213]
270140,[169533]
270141,[2]
270142,[700698]
270143,[729095]
270144,[776773]
270145,[718964]
270146,"[491126, 490748, 701860, 400118, 659590, 654179, 650472]"
270147,"[729566, 707043]"
270148,[204309]
270149,[198673]
270150,"[678342, 723798, 767467]"
270151,[656750]
270152,"[654054, 694840, 656645, 704766, 659590, 656645, 656645]"
270153,[188619]
270154,"[779553, 730940, 656750, 732186, 688231]"
270155,[678961]
270156,"[759281, 700673]"
270157,"[715572, 722160]"
270158,[933416]
270159,"[721605, 721605]"
270160,[684177]
270161,[746081]
270162,"[672900, 664013, 729566, 664161, 711683]"
270166,"[729566, 669664, 658494]"
270167,[706955]
270168,[719556]
270169,[660873]
270170,"[727372, 660842]"
270171,[770065]
270172,"[729566, 669069, 723798]"
270173,[701204]
270174,[705067]
270175,"[788869, 701208]"
270176,[693497]
270177,"[999746, 729195, 192738]"
270178,[2]
270180,"[702116, 656706, 731047, 729566]"
270181,[670166]
270182,[689437]
270183,"[694840, 651460, 663991]"
270184,"[496067, 496067, 654542, 488114, 673156, 490748, 488114, 504857]"
270185,"[729556, 454066, 704544]"
270186,[471615]
